Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-32,436.62",Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Indicators Activated,EMA Parameters,MACD Parameters,HTF Trend Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry
"EMA Crossover, MACD, VWAP, HTF Trend, ATR","Fast EMA: 9, Slow EMA: 21","Fast: 12, Slow: 26, Signal: 9",HTF Period: 20,7.0,"10.0, 25.0, 50.0, 100.0","Enabled: False, Activation: 5.0 points, Distance: 7.0 points",3
,,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,
,,,,,,,
2025-09-30 09:20:17,2025-09-30 09:20:55,234.85,245,,75,749.5,
2025-09-30 09:20:17,2025-09-30 09:23:01,234.85,227.4,,300,-2278.62,
2025-09-30 09:25:37,2025-09-30 09:26:49,233.1,225,,375,-3091.45,
2025-09-30 10:01:46,2025-09-30 10:02:25,195,187.6,,450,-3383.98,
2025-09-30 10:02:40,2025-09-30 10:02:59,196.7,189,,450,-3519.38,
2025-09-30 11:00:40,2025-09-30 11:01:13,170.25,162.8,,450,-3399.34,
2025-09-30 11:01:47,2025-09-30 11:06:15,169.25,179.7,,75,775.13,
2025-09-30 11:01:47,2025-09-30 11:20:25,169.25,194.4,,75,1876.93,
2025-09-30 11:01:47,2025-09-30 11:23:02,169.25,162.25,,300,-2131.12,
2025-09-30 11:31:35,2025-09-30 11:36:01,171.55,183.2,,75,864.96,
2025-09-30 11:31:35,2025-09-30 11:40:54,171.55,164.25,,375,-2776.88,
2025-09-30 12:05:28,2025-09-30 12:07:03,169,161.5,,450,-3421.47,
2025-09-30 12:17:02,2025-09-30 12:22:03,171.1,184.9,,75,1026.13,
2025-09-30 12:17:02,2025-09-30 12:22:09,171.1,196.2,,75,1873.09,
2025-09-30 12:17:02,2025-09-30 12:49:51,171.1,163.9,,300,-2191.44,
2025-09-30 12:52:00,2025-09-30 12:56:14,169.9,160.85,,450,-4118.78,
2025-09-30 12:57:41,2025-09-30 12:58:50,170,162.95,,450,-3219.39,
2025-09-30 12:59:34,2025-09-30 13:01:36,169.7,162.25,,375,-2832.65,
2025-09-30 13:09:24,2025-09-30 13:11:05,173.15,183.6,,75,774.95,
2025-09-30 13:09:24,2025-09-30 13:14:38,173.15,166.05,,300,-2161.85,
2025-09-30 13:14:42,2025-09-30 13:17:47,170.45,181.1,,75,790.07,
2025-09-30 13:14:42,2025-09-30 13:23:08,170.45,161.75,,300,-2641.03,
,,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,,
,,Starting Capital,,100000,,,
11.75,737.75,Take Profit 1,0.63,100737.75,,,
43.62,-2322.24,Stop Loss,2.73,98415.51,,,
53.95,-3145.4,Stop Loss,1.2,95270.11,,,
53.98,-3437.96,Stop Loss,0.65,91832.16,,,
54.38,-3573.76,Stop Loss,0.32,88258.4,,,
46.84,-3446.18,Stop Loss,0.55,84812.21,,,
8.62,766.51,Take Profit 1,4.47,85578.73,,,
9.32,1867.61,Take Profit 2,18.63,87446.33,,,
31.12,-2162.25,Stop Loss,21.25,85284.08,,,
8.79,856.18,Take Profit 1,4.43,86140.26,,,
39.38,-2816.27,Stop Loss,9.32,83324,,,
46.47,-3467.94,Stop Loss,1.58,79856.06,,,
8.87,1017.27,Take Profit 1,5.02,80873.33,,,
9.41,1863.68,Take Profit 2,5.12,82737.01,,,
31.44,-2222.88,Stop Loss,32.82,80514.13,,,
46.28,-4165.06,Stop Loss,4.23,76349.07,,,
46.89,-3266.27,Stop Loss,1.15,73082.8,,,
38.9,-2871.56,Stop Loss,2.03,70211.24,,,
8.8,766.14,Take Profit 1,1.68,70977.38,,,
31.85,-2193.7,Stop Loss,5.23,68783.68,,,
8.68,781.38,Take Profit 1,3.08,69565.06,,,
31.03,-2672.05,Stop Loss,8.43,66893,,,
