timestamp,capital
2025-07-21 09:20:53+05:30,101123.58393222399
2025-07-21 09:21:44+05:30,105522.64580483199
2025-07-21 09:25:13+05:30,106582.26130273199
2025-07-21 09:26:34+05:30,110202.254729232
2025-07-21 09:33:11+05:30,111388.019827224
2025-07-21 09:34:02+05:30,113494.878054024
2025-07-21 09:36:11+05:30,107550.463943644
2025-07-21 09:40:48+05:30,101765.761583452
2025-07-21 09:47:15+05:30,96456.00724297199
2025-07-21 09:54:45+05:30,91521.22186152
2025-07-21 10:09:17+05:30,86855.29787944199
2025-07-21 10:12:04+05:30,82371.65811197399
2025-07-21 10:25:52+05:30,81942.83418998598
