Entry Time,Exit Time,Entry,Exit,Qty,P&L,Commission,Net,Reason,Duration
2025-07-21 09:20:00+05:30,2025-07-21 09:20:53+05:30,185.55,196.6,104,1136.3919661119983,12.808033887999999,1123.5839322239983,Take Profit 1,0.8833333333333333
2025-07-21 09:20:00+05:30,2025-07-21 09:21:44+05:30,185.55,199.9,312,4438.130936303998,39.069063696,4399.061872607998,Trailing Stop,1.7333333333333334
2025-07-21 09:25:00+05:30,2025-07-21 09:25:13+05:30,212.5,222.5,109,1074.80774895,15.19225105,1059.6154978999998,Take Profit 1,0.21666666666666667
2025-07-21 09:25:00+05:30,2025-07-21 09:26:34+05:30,212.5,223.75,330,3666.24671325,46.25328675,3619.9934265,Trailing Stop,1.5666666666666667
2025-07-21 09:30:00+05:30,2025-07-21 09:33:11+05:30,227.6,238.3,114,1202.782548996002,17.017451004,1185.7650979920022,Take Profit 1,3.183333333333333
2025-07-21 09:30:00+05:30,2025-07-21 09:34:02+05:30,227.6,234.0,345,2157.429113400002,50.5708866,2106.858226800002,Trailing Stop,4.033333333333333
2025-07-21 09:35:26+05:30,2025-07-21 09:36:11+05:30,235.45,222.75,458,-5880.507055189995,63.90705519,-5944.414110379996,Stop Loss,0.75
2025-07-21 09:40:26+05:30,2025-07-21 09:40:48+05:30,222.0,209.35,448,-5725.951180096003,58.751180096000006,-5784.702360192003,Stop Loss,0.36666666666666664
2025-07-21 09:46:10+05:30,2025-07-21 09:47:15+05:30,190.3,178.0,424,-5262.477170240004,47.27717024,-5309.7543404800035,Stop Loss,1.0833333333333333
2025-07-21 09:51:20+05:30,2025-07-21 09:54:45+05:30,152.25,140.15,402,-4899.492690725998,35.292690726000004,-4934.785381451998,Stop Loss,3.4166666666666665
2025-07-21 09:56:20+05:30,2025-07-21 10:09:17+05:30,129.05,116.95,381,-4638.011991039003,27.911991039,-4665.923982078003,Stop Loss,12.95
2025-07-21 10:09:31+05:30,2025-07-21 10:12:04+05:30,120.6,108.35,362,-4459.069883734,24.569883733999998,-4483.639767467999,Stop Loss,2.55
2025-07-21 10:14:46+05:30,2025-07-21 10:25:52+05:30,121.0,119.9,343,-403.061960993998,25.761960994,-428.823921987998,Trailing Stop,11.1
