Entry Time,Exit Time,Entry Price,Exit Price,Quantity,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,Starting Capital,,100000.0
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,104,1136.39,12.81,1123.58,Take Profit 1,0.88,101123.58
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,312,4438.13,39.07,4399.06,Trailing Stop,1.73,105522.65
2025-07-21 09:25:00,2025-07-21 09:25:13,212.5,222.5,109,1074.81,15.19,1059.62,Take Profit 1,0.22,106582.26
2025-07-21 09:25:00,2025-07-21 09:26:34,212.5,223.75,330,3666.25,46.25,3619.99,Trailing Stop,1.57,110202.25
2025-07-21 09:30:00,2025-07-21 09:33:11,227.6,238.3,114,1202.78,17.02,1185.77,Take Profit 1,3.18,111388.02
2025-07-21 09:30:00,2025-07-21 09:34:02,227.6,234.0,345,2157.43,50.57,2106.86,Trailing Stop,4.03,113494.88
2025-07-21 09:35:26,2025-07-21 09:36:11,235.45,222.75,458,-5880.51,63.91,-5944.41,Stop Loss,0.75,107550.46
2025-07-21 09:40:26,2025-07-21 09:40:48,222.0,209.35,448,-5725.95,58.75,-5784.7,Stop Loss,0.37,101765.76
2025-07-21 09:46:10,2025-07-21 09:47:15,190.3,178.0,424,-5262.48,47.28,-5309.75,Stop Loss,1.08,96456.01
2025-07-21 09:51:20,2025-07-21 09:54:45,152.25,140.15,402,-4899.49,35.29,-4934.79,Stop Loss,3.42,91521.22
2025-07-21 09:56:20,2025-07-21 10:09:17,129.05,116.95,381,-4638.01,27.91,-4665.92,Stop Loss,12.95,86855.3
2025-07-21 10:09:31,2025-07-21 10:12:04,120.6,108.35,362,-4459.07,24.57,-4483.64,Stop Loss,2.55,82371.66
2025-07-21 10:14:46,2025-07-21 10:25:52,121.0,119.9,343,-403.06,25.76,-428.82,Trailing Stop,11.1,81942.83
