Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-8,418.90",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,MACD Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry
"EMA Crossover, MACD","Fast EMA: 9, Slow EMA: 21","Fast: 12, Slow: 26, Signal: 9",10.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",5
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-08-20 09:20:00,2025-08-20 09:21:19,177.6,175,,450,-1219.33
2025-08-20 09:39:39,2025-08-20 09:40:30,178.45,168.05,,450,-4727.37
2025-08-20 09:51:06,2025-08-20 09:55:47,149.8,160.85,,75,821.19
2025-08-20 09:51:06,2025-08-20 09:56:30,149.8,161.2,,375,4237.13
2025-08-20 10:12:46,2025-08-20 10:14:45,149.2,139.2,,450,-4539.24
2025-08-20 10:40:06,2025-08-20 10:58:40,126.8,136.85,,75,747.32
2025-08-20 10:40:06,2025-08-20 11:01:45,126.8,135.6,,375,3268.15
2025-08-20 11:16:16,2025-08-20 11:29:29,111.2,110.45,,450,-368.63
2025-08-20 11:47:24,2025-08-20 11:58:26,112.75,100.7,,450,-5450.89
2025-08-20 12:25:55,2025-08-20 12:49:04,100.3,90.3,,450,-4525.45
2025-08-20 13:07:57,2025-08-20 13:16:49,90.65,89.95,,375,-283.63
2025-08-20 13:18:25,2025-08-20 13:23:15,88.85,99.05,,75,760.35
2025-08-20 13:18:25,2025-08-20 13:31:07,88.85,98.45,,300,2861.5
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
49.33,-1268.66,Trailing Stop,1.32,98731.34,,
47.37,-4774.74,Stop Loss,0.85,93956.6,,
7.56,813.64,Take Profit 1,4.68,94770.23,,
37.87,4199.27,Trailing Stop,5.4,98969.5,,
39.24,-4578.48,Stop Loss,1.98,94391.02,,
6.43,740.89,Take Profit 1,18.57,95131.91,,
31.85,3236.29,Trailing Stop,21.65,98368.2,,
31.13,-399.77,Trailing Stop,13.22,97968.43,,
28.39,-5479.27,Stop Loss,11.03,92489.16,,
25.45,-4550.91,Stop Loss,23.15,87938.25,,
21.13,-304.76,Trailing Stop,8.87,87633.49,,
4.65,755.69,Take Profit 1,4.83,88389.19,,
18.5,2843,Trailing Stop,12.7,91232.18,,
